"","State","Agency","Abbr"
"6963","Washington","Washington Department of Corrections",""
"6964","Washington","Washington Department of Early Learning",""
"6965","Washington","Washington Department of Ecology",""
"6966","Washington","Washington Department of Employment Security",""
"6967","Washington","Washington Department of Enterprise Services",""
"6968","Washington","Washington Department of Financial Institutions",""
"6969","Washington","Washington Department of Fish and Wildlife",""
"6970","Washington","Washington Department of Health",""
"6971","Washington","Washington Department of Labor and Industries",""
"6972","Washington","Washington Department of Licensing",""
"6973","Washington","Washington Department of Natural Resources",""
"6974","Washington","Washington Department of Retirement Systems",""
"6975","Washington","Washington Department of Revenue",""
"6976","Washington","Washington Department of Services for the Blind",""
"6977","Washington","Washington Department of Social and Health Services",""
"6978","Washington","Washington Department of Transportation",""
"6979","Washington","Washington Department of Transportation Aviation",""
"6980","Washington","Washington Department of Veterans Affairs",""
"6981","Washington","Washington Developmental Disabilities Council",""
"6982","Washington","Washington Economic and Revenue Forecast Council",""
"6983","Washington","Washington Economic Development Commission",""
"6984","Washington","Washington Economic Development Finance Authority",""
"6985","Washington","Washington Education Research and Data Center",""
"6986","Washington","Washington Emergency Management Division",""
"6987","Washington","Washington Energy Facility Site Evaluation Council",""
"6988","Washington","Washington Environmental and Land Use Hearings Office",""
"6989","Washington","Washington Executive Ethics Board",""
"6990","Washington","Washington Expenditure Limit Committee",""
"6991","Washington","Washington Extension Energy Program",""
"6992","Washington","Washington Family Policy Council",""
"6993","Washington","Washington Forest Practices Appeals Board",""
"6994","Washington","Washington Forest Practices Board",""
"6995","Washington","Washington Forum on Monitoring Salmon Recovery and Watershed Health",""
"6996","Washington","Washington Freight Mobility Strategic Investment Board",""
"6997","Washington","Washington Fruit Commission",""
"6998","Washington","Washington Governor's Committee on Disability Issues and Employment",""
"6999","Washington","Washington Governor's Office for Regulatory Innovation and Assistance",""
"7000","Washington","Washington Governor's Office of Indian Affairs",""
"7001","Washington","Washington Governor's Salmon Recovery Office",""
"7002","Washington","Washington Grain Commission",""
"7003","Washington","Washington Growth Management Hearings Board",""
"7004","Washington","Washington Hardwoods Commission",""
"7005","Washington","Washington Health Care Facilities Authority",""
"7006","Washington","Washington Higher Education Facilities Authority",""
"7007","Washington","Washington Home Care Referral Registry",""
"7008","Washington","Washington Housing Finance Commission",""
"7009","Washington","Washington Human Rights Commission",""
"7010","Washington","Washington Hydraulics Appeals Board",""
"7011","Washington","Washington Indeterminate Sentence Review Board",""
"7012","Washington","Washington Joint Legislative Audit and Review Committee",""
"7013","Washington","Washington Joint Transportation Committee",""
"7014","Washington","Washington K-20 Education Network",""
"7015","Washington","Washington Labor Relations Division",""
"7016","Washington","Washington Law Enforcement Officers and Fire Fighters' Plan 2 Retirement Board",""
"7017","Washington","Washington Legislative Ethics Board",""
"7018","Washington","Washington Legislative Evaluation and Accountability Program Committee",""
"7019","Washington","Washington Legislature Customer Service Center",""
"7020","Washington","Washington Lewis-Mason-Thurston Area Agency on Aging",""
"7021","Washington","Washington Liquor and Cannabis Board",""
"7022","Washington","Washington Medical Quality Assurance Commission",""
"7023","Washington","Washington Military Department",""
"7024","Washington","Washington Northwest Cherries",""
"7025","Washington","Washington Northwest Indian Fisheries Commission",""
"7026","Washington","Washington Northwest Power and Conservation Council",""
"7027","Washington","Washington Nursing Care Quality Assurance Commission",""
"7028","Washington","Washington Office of Administrative Hearings",""
"7029","Washington","Washington Office of Civil Legal Aid",""
"7030","Washington","Washington Office of CyberSecurity",""
"7031","Washington","Washington Office of Financial Management",""
"7032","Washington","Washington Office of Lieutenant Governor",""
"7033","Washington","Washington Office of Minority and Women's Business Enterprises",""
"7034","Washington","Washington Office of Public Defense",""
"7035","Washington","Washington Office of Superintendent of Public Instruction",""
"7036","Washington","Washington Office of the Attorney General",""
"7037","Washington","Washington Office of the Chief Information Officer",""
"7038","Washington","Washington Office of the Deaf and Hard of Hearing",""
"7039","Washington","Washington Office of the Education Ombudsman",""
"7040","Washington","Washington Office of the Family and Children's Ombuds",""
"7041","Washington","Washington Office of the Governor",""
"7042","Washington","Washington Office of the Insurance Commissioner",""
"7043","Washington","Washington Office of the Land Commissioner",""
"7044","Washington","Washington Office of the Secretary of State",""
"7045","Washington","Washington Office of the State Actuary",""
"7046","Washington","Washington Office of the State Fire Marshal",""
"7047","Washington","Washington Office of the State Human Resources Director",""
"7048","Washington","Washington Office of the State Treasurer",""
"7049","Washington","Washington Open Government Ombudsman",""
"7050","Washington","Washington Personnel Resources Board",""
"7051","Washington","Washington Pollution Control Hearings Board",""
"7052","Washington","Washington Potato Commission",""
"7053","Washington","Washington Productivity Board",""
"7054","Washington","Washington Professional Educator Standards Board",""
"7055","Washington","Washington Public Affairs Network TVW",""
"7056","Washington","Washington Public Deposit Protection Commission",""
"7057","Washington","Washington Public Disclosure Commission",""
"7058","Washington","Washington Public Employees Benefits Board Program",""
"7059","Washington","Washington Public Employment Relations Commission",""
"7060","Washington","Washington Public Works Board",""
"7061","Washington","Washington Puget Sound Partnership",""
"7062","Washington","Washington Puget Sound Salmon Commission",""
"7063","Washington","Washington Real Estate Appraiser Commission",""
